"scenario_id","baseline","n","cens","grid_type","J","k","n_reps","n_success","fail_rate","nonconv","mean_events"
1,"constant",100,0.2,"equidistant",10,7,500,500,0,0,79.986
2,"increasing",100,0.2,"equidistant",10,7,500,500,0,0,80.244
3,"nonmonotone",100,0.2,"equidistant",10,7,500,500,0,0,79.608
4,"constant",250,0.2,"equidistant",10,7,500,500,0,0,200.024
5,"increasing",250,0.2,"equidistant",10,7,500,500,0,0,199.97
6,"nonmonotone",250,0.2,"equidistant",10,7,500,500,0,0,200.206
7,"constant",1000,0.2,"equidistant",10,7,500,500,0,0,800.328
8,"increasing",1000,0.2,"equidistant",10,7,500,500,0,0,799.628
9,"nonmonotone",1000,0.2,"equidistant",10,7,500,500,0,0,800.24
10,"constant",100,0.6,"equidistant",10,7,500,434,0.132,0,39.968
11,"increasing",100,0.6,"equidistant",10,7,500,500,0,0,39.958
12,"nonmonotone",100,0.6,"equidistant",10,7,500,457,0.086,0,40.442
13,"constant",250,0.6,"equidistant",10,7,500,497,0.006,0,100.002
14,"increasing",250,0.6,"equidistant",10,7,500,500,0,0,100
15,"nonmonotone",250,0.6,"equidistant",10,7,500,499,0.002,0,99.698
16,"constant",1000,0.6,"equidistant",10,7,500,500,0,0,400.632
17,"increasing",1000,0.6,"equidistant",10,7,500,500,0,0,399.192
18,"nonmonotone",1000,0.6,"equidistant",10,7,500,500,0,0,400.202
19,"constant",100,0.2,"quantile",40,10,500,500,0,0,80.264
20,"increasing",100,0.2,"quantile",40,10,500,500,0,0,80.444
21,"nonmonotone",100,0.2,"quantile",40,10,500,500,0,0,79.828
22,"constant",250,0.2,"quantile",40,10,500,500,0,0,199.736
23,"increasing",250,0.2,"quantile",40,10,500,500,0,0,199.888
24,"nonmonotone",250,0.2,"quantile",40,10,500,500,0,0,200.274
25,"constant",1000,0.2,"quantile",40,10,500,500,0,0,800.134
26,"increasing",1000,0.2,"quantile",40,10,500,500,0,0,800.112
27,"nonmonotone",1000,0.2,"quantile",40,10,500,500,0,0,800.476
28,"constant",100,0.6,"quantile",40,10,500,500,0,0,40.032
29,"increasing",100,0.6,"quantile",40,10,500,500,0,0,40.238
30,"nonmonotone",100,0.6,"quantile",40,10,500,500,0,0,39.858
31,"constant",250,0.6,"quantile",40,10,500,500,0,0,100.442
32,"increasing",250,0.6,"quantile",40,10,500,500,0,0,100.236
33,"nonmonotone",250,0.6,"quantile",40,10,500,500,0,0,99.696
34,"constant",1000,0.6,"quantile",40,10,500,500,0,0,399.266
35,"increasing",1000,0.6,"quantile",40,10,500,500,0,0,399.094
36,"nonmonotone",1000,0.6,"quantile",40,10,500,500,0,0,399.694
37,"nonmonotone",250,0.2,"quantile",40,20,500,500,0,0,200.066
