"scenario_id","baseline","n","cens","grid_type","J","k","n_reps","fail_rate","nonconv","mean_events"
1,"constant",100,0.2,"equidistant",10,7,25,0,0,79.08
2,"increasing",100,0.2,"equidistant",10,7,25,0,0,78.68
3,"nonmonotone",100,0.2,"equidistant",10,7,25,0,0,79.88
4,"constant",250,0.2,"equidistant",10,7,25,0,0,200.2
5,"increasing",250,0.2,"equidistant",10,7,25,0,0,200.4
6,"nonmonotone",250,0.2,"equidistant",10,7,25,0,0,200.52
7,"constant",1000,0.2,"equidistant",10,7,25,0,0,801.68
8,"increasing",1000,0.2,"equidistant",10,7,25,0,0,798.56
9,"nonmonotone",1000,0.2,"equidistant",10,7,25,0,0,800.92
10,"constant",100,0.6,"equidistant",10,7,25,0.04,0,40.56
11,"increasing",100,0.6,"equidistant",10,7,25,0,0,40.36
12,"nonmonotone",100,0.6,"equidistant",10,7,25,0.08,0,38.88
13,"constant",250,0.6,"equidistant",10,7,25,0,0,98.96
14,"increasing",250,0.6,"equidistant",10,7,25,0,0,104.96
15,"nonmonotone",250,0.6,"equidistant",10,7,25,0,0,99.4
16,"constant",1000,0.6,"equidistant",10,7,25,0,0,391.08
17,"increasing",1000,0.6,"equidistant",10,7,25,0,0,401.6
18,"nonmonotone",1000,0.6,"equidistant",10,7,25,0,0,399.56
19,"constant",100,0.2,"quantile",40,10,25,0,0,79.24
20,"increasing",100,0.2,"quantile",40,10,25,0,0,81.12
21,"nonmonotone",100,0.2,"quantile",40,10,25,0,0,80.16
22,"constant",250,0.2,"quantile",40,10,25,0,0,199.28
23,"increasing",250,0.2,"quantile",40,10,25,0,0,199.8
24,"nonmonotone",250,0.2,"quantile",40,10,25,0,0,199.16
25,"constant",1000,0.2,"quantile",40,10,25,0,0,801.08
26,"increasing",1000,0.2,"quantile",40,10,25,0,0,796.2
27,"nonmonotone",1000,0.2,"quantile",40,10,25,0,0,802.92
28,"constant",100,0.6,"quantile",40,10,25,0,0,40.04
29,"increasing",100,0.6,"quantile",40,10,25,0,0,39.16
30,"nonmonotone",100,0.6,"quantile",40,10,25,0,0,39.64
31,"constant",250,0.6,"quantile",40,10,25,0,0,97
32,"increasing",250,0.6,"quantile",40,10,25,0,0,98.48
33,"nonmonotone",250,0.6,"quantile",40,10,25,0,0,100.44
34,"constant",1000,0.6,"quantile",40,10,25,0,0,402.08
35,"increasing",1000,0.6,"quantile",40,10,25,0,0,402.12
36,"nonmonotone",1000,0.6,"quantile",40,10,25,0,0,397.44
37,"nonmonotone",250,0.2,"quantile",40,20,25,0,0,198.4
